,SampleID,mAge_Hovath,mAge_Hannum,PhenoAge
1,200715340057_R01C01,53.7756302263066,63.5750872924776,43.5347466661361
2,200715340057_R02C01,60.0257395700696,70.846899868908,44.285155812994
3,200715340057_R03C01,62.6632574435299,65.5154758109853,50.5167886535014
4,200715340057_R04C01,58.1897455271397,60.1129531846546,44.611696084891
5,200715340057_R05C01,35.7782477367428,37.3315014129572,11.5924823473535
6,200715340057_R06C01,34.106959798086,40.9186058912338,22.3242530773725
7,200715340057_R07C01,48.3791722724937,54.7865153962097,32.6824150327395
8,200715340057_R08C01,51.7641379929008,58.2602007333359,33.17199008604
9,200715340073_R01C01,35.5064865350419,37.4404155717338,6.40612256101977
10,200715340073_R02C01,34.1428046053711,42.3699590795969,21.4879848655944
11,200715340073_R03C01,57.4819660549765,62.6746056667598,44.1459507434774
12,200715340073_R04C01,58.3569763088759,63.3504789696381,47.1402808995253
13,200715340073_R05C01,63.1262682997704,67.4833655733426,45.0281702198374
14,200715340073_R06C01,64.4618360228391,70.0023081787031,49.2386610725688
15,200715340073_R07C01,62.1265470170955,66.9022022472673,50.0612944708429
16,200715340073_R08C01,64.5930655828674,67.6871540013386,54.5536231221696
17,200712160102_R01C01,56.5129565212417,63.534619995312,44.2336134519483
18,200712160102_R02C01,60.4571138054789,64.0516472332543,42.3606648142111
19,200712160102_R03C01,39.5402225726588,41.0897855014874,18.6743779645888
20,200712160102_R04C01,35.5159544707189,41.6001044969013,19.0736832008576
21,200712160102_R05C01,59.6347207317238,61.8874270154256,42.719274443922
22,200712160102_R06C01,57.7673651831676,62.8106079636563,50.4390870428154
23,200712160102_R07C01,42.0898483279026,43.8679887047691,22.2728006641917
24,200712160102_R08C01,41.9784093166783,48.5172802757312,26.1366917300279
25,200715340075_R01C01,43.992565822305,45.2259923822349,27.4147940379205
26,200715340075_R02C01,40.4541525990784,45.8446643814474,14.175225937651
27,200715340075_R03C01,50.054739865583,52.882284093759,31.9626669478284
28,200715340075_R04C01,47.5342295053678,52.0207214946595,32.1443454245143
29,200715340075_R05C01,54.6431715973334,64.5364162333604,45.2970646823324
30,200715340075_R06C01,52.158781945429,62.9429957470688,47.0915676402295
31,200715340075_R07C01,53.5238231928929,54.5890449477257,35.8085585184533
32,200715340075_R08C01,56.2246437120065,59.3582431807624,39.4792859633036
33,200705360079_R01C01,43.2147621483351,44.2320274424645,30.3971289046563
34,200705360079_R02C01,37.8377106669194,46.3281065098663,36.0908448034334
35,200705360079_R03C01,59.4208437509856,67.3839536587102,51.1291703674327
36,200705360079_R04C01,57.5421182419092,70.0202536697729,47.7135854098208
37,200705360079_R05C01,62.8711801422505,61.4903099693323,42.0795607968585
38,200705360079_R06C01,63.5146583538914,67.2571774335661,41.0293511485445
39,200705360079_R07C01,35.4961136664298,43.8716381755141,13.5138464849025
40,200705360079_R08C01,36.9815743553266,44.1064742296403,18.9917287974854
41,200705360018_R01C01,67.7565257700527,69.4672860851675,56.3714359600519
42,200705360018_R02C01,66.8016506589211,72.8129684146127,51.9168429302747
43,200705360018_R03C01,49.8070564591759,56.7433607442017,29.2747703737913
44,200705360018_R04C01,47.5903371768308,52.3473897165166,34.3931896855907
45,200705360018_R05C01,48.5379624008068,51.315005146908,28.4122344594855
46,200705360018_R06C01,49.5106497067362,50.5343911210507,32.8865350348964
47,200705360018_R07C01,38.9197398295679,39.4344017771764,13.404328748244
48,200705360018_R08C01,38.3783220416055,45.7373654140769,26.5783790638865
49,200705940085_R01C01,54.3971967324975,59.9241021109235,35.9246005367053
50,200705940085_R02C01,52.8375788610433,58.306276844735,37.3730317932917
51,200705940085_R03C01,67.4539769440935,72.866659384389,55.4028269664275
52,200705940085_R04C01,68.1606144174849,73.1286855068492,54.22969352169
53,200705940085_R05C01,56.4992839560024,68.7230572340954,51.8365141240697
54,200705940085_R06C01,56.1941526173174,65.2604229041138,55.7066339438698
55,200705940085_R07C01,35.6372268068379,39.5437282546714,18.1980282445239
56,200705940085_R08C01,33.8752444840429,37.728593642889,19.3375417087583
57,200705360087_R01C01,46.7103997366874,50.1226876204931,22.9172321866749
58,200705360087_R02C01,40.835065691871,47.0248218008317,18.5389634359246
59,200705360087_R03C01,35.6187879276177,42.8774007145545,21.6776706250054
60,200705360087_R04C01,39.9641920355616,44.8083511793302,13.8573139813811
61,200705360087_R05C01,64.8417087843587,72.221662545612,53.0342518649564
62,200705360087_R06C01,54.021786685048,64.46283076732,43.2692404083046
63,200705360087_R07C01,56.2095030657165,61.7833059558578,47.4559570326279
64,200705360087_R08C01,59.3252290837686,62.2156592047543,51.3104735258133
65,200705940096_R01C01,45.5750182309529,52.2209289469605,38.084615009144
66,200705940096_R02C01,47.0499555260988,54.3030289855042,37.3952488345996
67,200705940096_R03C01,58.2156389412984,69.4926032248482,47.8618661300318
68,200705940096_R04C01,56.8405157366471,68.3204440333122,45.7793043070046
69,200705940096_R05C01,61.4143607773738,66.3056758206513,48.271235824143
70,200705940096_R06C01,61.9672843790293,61.7604237823551,39.8557407209111
